 STICS SELECTED RATES
         Input Level 1 Filename: SMSDISK3:[WIND.L1DATA]WI_L1_SMS_19950101_V01.DAT;2
         FIFO mode is OFF    TGS mode is ON       Telemetry mode is Science mode     
 YEAR DOY HR:MIN:SEC          H        He2        He1        BR0        BR1        BR2      FSR12      FSR34      FSR56         O1         O6         07 
 1995   2 19:40:47          0.02       0.04       0.02       0.00       0.00       0.12      20.92      26.14      15.26       0.00       0.00       0.00
 1995   2 20:12:46          0.01       0.03       0.02       0.00       0.00       0.09      21.10      26.15      15.55       0.00       0.00       0.00
 1995   2 20:44:46          0.03       0.04       0.04       0.00       0.00       0.16      20.69      26.27      15.41       0.00       0.00       0.00
 1995   2 21:16:45          0.01       0.04       0.02       0.00       0.00       0.12      20.98      26.24      15.43       0.00       0.00       0.00
 1995   2 21:48:44          0.45       0.08       0.02       0.00       0.00       0.64      22.94      31.11      16.14       0.00       0.00       0.00
 1995   2 22:20:43          0.02       0.05       0.03       0.00       0.00       0.16      20.85      26.45      15.51       0.00       0.00       0.00
 1995   2 22:52:42          0.02       0.02       0.03       0.00       0.00       0.09      21.43      25.89      15.29       0.00       0.00       0.00
 1995   2 23:24:42          0.03       0.02       0.03       0.00       0.00       0.11      21.12      25.54      15.28       0.00       0.00       0.00
 1995   2 23:50:17          0.02       0.01       0.02       0.00       0.00       0.07      20.89      25.21      15.09       0.00       0.00       0.00
 1995   3  0:31:52          0.02       0.04       0.03       0.00       0.01       0.15      20.88      26.77      15.34       0.00       0.00       0.00
 1995   3  1:03:51          0.01       0.05       0.04       0.01       0.00       0.15      20.89      27.44      15.70       0.00       0.00       0.00
 1995   3  1:35:50          0.01       0.06       0.03       0.01       0.01       0.19      20.90      27.14      15.15       0.00       0.00       0.00
 1995   3  2:07:49          0.20       0.04       0.03       0.01       0.00       0.34      21.09      28.55      17.53       0.00       0.00       0.00
 1995   3  2:39:48          0.05       0.03       0.03       0.00       0.00       0.18      20.93      26.98      16.05       0.00       0.00       0.00
 1995   3  3:11:47          0.18       0.08       0.04       0.00       0.01       0.38      23.29      27.92      15.57       0.00       0.00       0.00
 1995   3  3:43:47          0.03       0.04       0.03       0.00       0.01       0.15      20.93      26.73      15.44       0.00       0.00       0.00
 1995   3  4:15:46          0.02       0.05       0.04       0.01       0.01       0.17      20.98      27.74      15.43       0.00       0.00       0.00
 1995   3  4:47:45          0.02       0.07       0.03       0.00       0.00       0.21      20.80      27.62      15.61       0.00       0.00       0.00
 1995   3  5:19:44          0.02       0.04       0.04       0.00       0.01       0.18      20.66      27.26      15.31       0.00       0.00       0.00
 1995   3  5:51:43          0.01       0.06       0.04       0.00       0.01       0.16      20.83      27.11      15.31       0.00       0.00       0.00
 1995   3  6:23:42          0.03       0.04       0.05       0.00       0.01       0.20      21.44      27.38      15.05       0.00       0.00       0.00
 1995   3  6:55:42          0.03       0.07       0.05       0.01       0.01       0.23      21.09      28.96      15.29       0.00       0.00       0.00
 1995   3  7:27:41          0.03       0.12       0.05       0.01       0.01       0.29      21.31      30.22      15.42       0.00       0.00       0.00
 1995   3  7:59:40          0.02       0.10       0.04       0.01       0.01       0.28      20.97      29.34      15.33       0.00       0.00       0.00
 1995   3  8:31:39          0.23       0.20       0.04       0.01       0.01       0.63      20.81      33.16      17.98       0.00       0.00       0.00
 1995   3  9:03:38          0.00       0.68       0.09       0.04       0.02       1.13      21.17      49.22      15.18       0.00       0.00       0.00
 1995   3  9:35:37          0.01       1.13       0.10       0.07       0.03       1.83      21.18      65.57      15.53       0.00       0.00       0.00
 1995   3 10:07:36          0.70       1.61       0.11       0.05       0.02       3.09      27.14      79.70      17.62       0.00       0.00       0.00
 1995   3 10:39:36          1.29       1.80       0.12       0.05       0.01       3.99      29.57      85.44      24.13       0.00       0.00       0.00
 1995   3 11:11:35          0.01       2.05       0.09       0.08       0.02       2.89      21.13      93.66      15.33       0.00       0.00       0.00
 1995   3 11:43:34          0.01       2.50       0.11       0.07       0.03       3.53      21.21     106.36      15.25       0.00       0.00       0.00
 1995   3 12:15:33          0.23       2.85       0.14       0.08       0.03       4.29      22.45     123.41      15.57       0.00       0.00       0.00
 1995   3 12:47:32          0.02       2.88       0.16       0.08       0.03       4.18      20.74     122.04      15.25       0.00       0.00       0.00
 1995   3 13:19:31          0.00       3.21       0.15       0.09       0.03       4.54      21.33     134.39      15.32       0.00       0.00       0.00
 1995   3 13:51:30          0.23       2.96       0.16       0.11       0.03       4.49      22.87     125.62      16.12       0.00       0.01       0.00
 1995   3 14:23:30          0.01       2.06       0.13       0.05       0.03       3.03      20.91      97.00      15.21       0.00       0.00       0.00
 1995   3 14:55:29          0.23       1.73       0.13       0.07       0.02       2.92      20.92      89.48      18.14       0.00       0.00       0.00
 1995   3 15:27:28          0.07       1.32       0.13       0.07       0.02       2.48      20.74      77.84      17.00       0.00       0.00       0.00
 1995   3 15:59:27          0.05       0.86       0.14       0.05       0.02       1.71      20.82      62.55      15.65       0.00       0.00       0.00
 1995   3 16:31:26          0.00       0.98       0.12       0.05       0.02       1.81      20.77      65.85      15.24       0.00       0.00       0.00
 1995   3 17:03:25          0.00       1.12       0.13       0.05       0.01       2.07      20.68      72.68      15.11       0.00       0.00       0.00
 1995   3 17:35:24          0.00       1.12       0.12       0.06       0.01       1.93      20.65      68.39      15.58       0.00       0.00       0.00
 1995   3 18:07:24          0.16       1.13       0.11       0.04       0.03       2.11      21.16      68.19      16.03       0.00       0.00       0.00
 1995   3 18:39:23          0.01       0.82       0.11       0.02       0.02       1.46      20.61      56.96      15.27       0.00       0.00       0.00
 1995   3 19:11:22          0.00       0.67       0.10       0.04       0.01       1.26      20.57      52.11      15.07       0.00       0.00       0.00
 1995   3 19:43:21          0.13       0.65       0.08       0.03       0.02       1.37      22.08      52.25      15.08       0.00       0.00       0.00
 1995   3 20:15:20          0.05       0.65       0.10       0.04       0.02       1.35      21.04      51.17      15.33       0.00       0.00       0.00
 1995   3 20:47:20          0.22       0.60       0.09       0.03       0.02       1.38      22.87      50.09      15.37       0.00       0.00       0.00
 1995   3 21:19:19          0.28       0.52       0.09       0.03       0.02       1.29      23.09      46.44      16.34       0.00       0.00       0.00
 1995   3 21:51:18          0.15       0.39       0.06       0.04       0.02       1.00      21.81      42.52      15.72       0.00       0.00       0.00
 1995   3 22:23:17          0.37       0.40       0.08       0.04       0.02       1.26      22.81      42.56      18.02       0.00       0.00       0.00
 1995   3 22:55:16          0.02       0.31       0.08       0.01       0.02       0.75      20.28      39.55      14.85       0.00       0.00       0.00
 1995   3 23:27:15          0.01       0.27       0.08       0.03       0.01       0.68      20.19      38.84      15.19       0.00       0.00       0.00
 1995   3 23:52:51          0.00       0.24       0.07       0.02       0.00       0.56      20.59      36.05      15.39       0.00       0.00       0.00
 1995   4  0:31:14          0.07       0.27       0.08       0.01       0.01       0.66      20.81      35.82      15.31       0.00       0.00       0.00
 1995   4  1:03:13          0.03       0.19       0.05       0.02       0.00       0.50      20.70      34.34      15.19       0.00       0.00       0.00
 1995   4  1:35:12          0.01       0.17       0.04       0.02       0.01       0.46      20.38      32.59      15.08       0.00       0.00       0.00
 1995   4  2:07:11          0.11       0.14       0.06       0.01       0.01       0.51      21.48      32.38      15.15       0.00       0.00       0.00
 1995   4  2:39:10          0.00       0.11       0.06       0.02       0.00       0.30      20.19      31.03      15.08       0.00       0.00       0.00
 1995   4  3:11:09          0.00       0.11       0.06       0.01       0.00       0.26      20.83      29.82      14.96       0.00       0.00       0.00
 1995   4  3:43:08          0.01       0.16       0.04       0.01       0.01       0.40      20.33      32.31      15.02       0.00       0.00       0.00
 1995   4  4:15:08          0.02       0.20       0.04       0.02       0.00       0.50      20.44      33.61      15.06       0.00       0.00       0.00
 1995   4  4:47:07          0.05       0.17       0.05       0.01       0.01       0.46      21.14      32.79      15.03       0.00       0.00       0.00
 1995   4  5:19:06          0.00       0.11       0.04       0.01       0.01       0.30      20.44      29.96      15.26       0.00       0.00       0.00
 1995   4  5:51:05          0.01       0.16       0.05       0.02       0.01       0.37      20.81      31.57      14.76       0.00       0.00       0.00
 1995   4  6:23:04          0.00       0.22       0.08       0.03       0.01       0.53      20.16      35.27      15.15       0.00       0.00       0.00
 1995   4  6:55:03          0.00       0.21       0.08       0.02       0.01       0.56      20.40      36.81      14.94       0.00       0.00       0.00
 1995   4  7:27:02          0.00       0.20       0.05       0.02       0.01       0.51      20.45      35.30      14.93       0.00       0.00       0.00
 1995   4  7:59:02          0.00       0.19       0.05       0.02       0.01       0.44      20.41      33.58      15.22       0.00       0.00       0.00
 1995   4  8:31:01          0.01       0.22       0.06       0.02       0.00       0.51      20.59      34.84      14.98       0.00       0.00       0.00
 1995   4  9:03:00          0.00       0.31       0.06       0.01       0.01       0.70      20.40      39.38      14.96       0.00       0.00       0.00
 1995   4  9:34:59          0.01       0.44       0.06       0.01       0.01       0.89      20.57      41.65      15.25       0.00       0.00       0.00
 1995   4 10:06:58          0.16       0.45       0.07       0.01       0.02       1.03      21.20      42.92      15.78       0.00       0.00       0.00
 1995   4 10:38:57          0.07       0.50       0.06       0.02       0.01       0.98      21.17      43.95      15.10       0.00       0.00       0.00
 1995   4 11:10:57          0.00       0.56       0.05       0.02       0.01       1.04      20.52      46.28      15.18       0.00       0.00       0.00
 1995   4 11:42:56          0.73       0.67       0.05       0.04       0.01       1.90      23.92      51.58      21.37       0.00       0.00       0.00
 1995   4 12:14:55          0.17       0.56       0.08       0.02       0.01       1.18      21.67      45.73      15.60       0.00       0.00       0.00
 1995   4 12:46:54          0.16       0.47       0.04       0.03       0.01       0.99      21.07      43.83      16.02       0.00       0.00       0.00
 1995   4 13:18:53          0.01       0.23       0.06       0.03       0.00       0.56      20.69      35.99      15.24       0.00       0.00       0.00
 1995   4 13:50:52          0.01       0.73       0.06       0.02       0.02       1.22      20.38      49.97      15.02       0.00       0.00       0.00
 1995   4 14:22:51          0.00       0.46       0.04       0.02       0.01       0.93      20.31      44.57      15.13       0.00       0.00       0.00
 1995   4 14:54:51          0.01       0.63       0.06       0.02       0.01       1.16      20.11      49.54      15.18       0.00       0.00       0.00
 1995   4 15:26:50          0.02       0.83       0.11       0.05       0.02       1.64      20.50      61.32      15.45       0.00       0.00       0.00
 1995   4 15:58:49          0.01       0.89       0.11       0.03       0.02       1.65      20.20      61.29      15.27       0.00       0.00       0.00
 1995   4 16:30:48          0.01       0.70       0.08       0.05       0.02       1.37      20.09      53.62      15.24       0.00       0.00       0.00
 1995   4 17:02:47          0.00       0.33       0.06       0.02       0.01       0.76      20.38      40.44      15.41       0.00       0.00       0.00
 1995   4 17:34:46          0.00       0.13       0.02       0.01       0.01       0.30       7.78      16.20       5.95       0.00       0.00       0.00
 1995   6 16:05:08          0.00       0.70       0.08       0.00       0.00       1.26      24.59      68.05      19.32       0.00       0.00       0.00
 1995   6 16:37:20          0.00       0.45       0.08       0.01       0.00       0.97      24.54      51.61      19.24       0.00       0.00       0.00
 1995   6 17:09:31          0.29       0.42       0.08       0.01       0.01       1.19      25.05      51.90      21.27       0.00       0.00       0.00
 1995   6 17:41:43          0.02       0.47       0.07       0.01       0.00       0.97      24.89      53.01      19.56       0.00       0.00       0.00
 1995   6 18:13:54          0.05       0.41       0.05       0.01       0.01       0.96      24.97      48.80      19.23       0.00       0.00       0.00
 1995   6 18:46:06          0.03       0.68       0.08       0.01       0.00       1.37      24.53      64.08      19.41       0.00       0.00       0.00
 1995   6 19:18:17          0.10       0.86       0.08       0.02       0.01       1.70      25.79      68.00      19.28       0.00       0.00       0.00
 1995   6 19:50:28          0.01       0.60       0.08       0.01       0.01       1.24      24.34      59.25      19.18       0.00       0.00       0.00
 1995   6 20:22:40          0.00       0.62       0.06       0.01       0.01       1.22      24.48      59.04      19.24       0.00       0.00       0.00
 1995   6 20:54:52          0.02       0.60       0.07       0.01       0.00       1.25      24.57      59.35      19.42       0.00       0.00       0.00
 1995   6 21:27:03          0.00       0.74       0.07       0.02       0.01       1.39      24.50      64.16      18.91       0.00       0.00       0.00
 1995   6 21:59:15          0.09       0.58       0.07       0.01       0.01       1.28      25.58      58.05      19.00       0.00       0.00       0.00
 1995   6 22:31:26          0.01       0.56       0.07       0.01       0.01       1.18      24.96      55.78      18.90       0.00       0.00       0.00
 1995   6 23:03:37          0.04       0.57       0.08       0.01       0.01       1.17      25.11      55.26      19.08       0.00       0.00       0.00
 1995   6 23:35:49          0.01       0.60       0.06       0.01       0.00       1.13      24.71      57.22      19.11       0.00       0.00       0.00
 1995   6 23:51:55          0.03       0.73       0.05       0.01       0.01       1.29      24.94      62.83      19.57       0.00       0.00       0.00
 1995   7  0:30:32          0.20       0.70       0.07       0.01       0.01       1.49      25.22      60.86      21.89       0.00       0.00       0.00
 1995   7  1:02:44          0.00       0.49       0.07       0.01       0.01       1.04      24.92      52.93      19.16       0.00       0.00       0.00
 1995   7  1:34:56          0.01       0.49       0.05       0.01       0.02       0.99      24.88      52.16      18.98       0.00       0.00       0.00
 1995   7  2:07:07          0.03       0.63       0.06       0.00       0.01       1.21      24.83      58.42      19.12       0.00       0.00       0.00
 1995   7  2:39:19          0.01       0.50       0.09       0.01       0.01       1.09      24.94      55.31      19.18       0.00       0.00       0.00
 1995   7  3:11:30          0.08       0.57       0.07       0.01       0.01       1.17      24.91      55.27      19.74       0.00       0.00       0.00
 1995   7  3:43:41          0.04       0.41       0.05       0.01       0.01       0.92      24.56      51.65      19.53       0.00       0.00       0.00
 1995   7  4:15:53          0.02       0.47       0.07       0.01       0.00       0.95      24.47      51.05      19.59       0.00       0.00       0.00
 1995   7  4:48:04          0.18       0.67       0.08       0.02       0.01       1.44      25.58      61.28      21.05       0.00       0.00       0.00
 1995   7  5:20:16          0.02       0.66       0.09       0.01       0.01       1.38      24.76      63.13      19.39       0.00       0.00       0.00
 1995   7  5:52:27          0.13       0.60       0.06       0.01       0.01       1.42      25.37      61.83      19.97       0.00       0.00       0.00
 1995   7  6:24:39          0.08       0.67       0.07       0.01       0.01       1.41      25.15      61.85      19.42       0.00       0.00       0.00
 1995   7  6:56:51          0.05       0.56       0.08       0.01       0.01       1.29      25.07      59.74      19.96       0.00       0.00       0.00
 1995   7  7:29:02          0.70       0.50       0.07       0.01       0.01       1.81      30.56      54.74      21.07       0.00       0.00       0.00
 1995   7  8:01:13          0.47       0.48       0.07       0.00       0.01       1.52      26.85      57.27      21.84       0.00       0.00       0.00
 1995   7  8:33:25          0.14       0.35       0.06       0.01       0.01       1.04      24.97      50.10      21.21       0.00       0.00       0.00
 1995   7  9:05:36          0.03       0.24       0.09       0.01       0.01       0.84      24.73      45.54      19.34       0.00       0.00       0.00
 1995   7  9:37:48          0.23       0.28       0.07       0.01       0.01       1.01      26.12      47.43      20.68       0.00       0.00       0.00
 1995   7 10:09:59          0.04       0.32       0.08       0.01       0.01       0.93      24.81      48.36      19.69       0.00       0.00       0.00
 1995   7 10:42:11          0.01       0.91       0.09       0.01       0.02       1.65      24.68      70.35      19.10       0.00       0.00       0.00
 1995   7 11:14:22          0.00       0.34       0.07       0.01       0.01       0.82      24.57      45.85      18.98       0.00       0.00       0.00
 1995   7 11:46:34          0.00       0.41       0.09       0.01       0.01       0.91      24.55      50.11      19.14       0.00       0.00       0.00
 1995   7 12:18:45          0.00       0.61       0.05       0.01       0.01       1.22      24.29      58.84      19.21       0.00       0.00       0.00
 1995   7 12:50:57          0.01       0.62       0.06       0.00       0.01       1.07      24.46      56.49      18.86       0.00       0.00       0.00
 1995   7 13:23:08          0.06       0.65       0.04       0.01       0.00       1.12      24.84      57.09      18.89       0.00       0.00       0.00
 1995   7 13:55:20          0.02       0.97       0.07       0.01       0.01       1.58      24.44      68.27      19.09       0.00       0.00       0.00
 1995   7 14:27:31          0.00       0.80       0.05       0.01       0.01       1.19      24.92      59.80      19.15       0.00       0.00       0.00
 1995   7 14:59:43          0.07       0.70       0.06       0.01       0.00       1.17      25.23      58.45      19.45       0.00       0.00       0.00
 1995   7 15:31:54          0.00       0.56       0.03       0.01       0.01       0.91      24.50      51.33      19.23       0.00       0.00       0.00
 1995   7 16:04:06          0.00       0.78       0.06       0.01       0.01       1.27      23.67      60.99      18.90       0.00       0.00       0.00
 1995   7 16:36:17          0.15       1.05       0.06       0.01       0.00       1.68      25.24      69.45      19.36       0.00       0.00       0.00
 1995   7 17:08:29          0.40       1.71       0.09       0.03       0.01       2.73      27.45      94.83      19.74       0.00       0.00       0.00
 1995   7 17:40:40          0.04       5.05       0.11       0.04       0.03       6.44      24.71     207.54      19.32       0.00       0.00       0.00
 1995   7 18:12:51          0.05       4.18       0.10       0.03       0.02       5.46      24.97     179.48      20.06       0.00       0.00       0.00
 1995   7 18:45:03          0.03       3.45       0.11       0.04       0.02       4.52      25.03     154.82      19.14       0.00       0.00       0.00
 1995   7 19:17:15          0.07       3.42       0.09       0.03       0.02       4.50      25.25     151.46      19.66       0.00       0.00       0.00
 1995   7 19:49:26          0.12       3.06       0.13       0.03       0.01       4.18      25.16     140.17      19.51       0.00       0.00       0.00
 1995   7 20:21:38          0.10       3.50       0.12       0.03       0.02       4.63      25.25     158.47      19.72       0.00       0.00       0.00
 1995   7 20:53:49          0.22       2.44       0.09       0.02       0.01       3.56      26.56     119.19      19.69       0.00       0.00       0.00
 1995   7 21:26:01          0.01       1.69       0.07       0.01       0.01       2.38      24.58      90.00      19.30       0.00       0.00       0.00
 1995   7 21:51:46          0.01       1.53       0.05       0.02       0.01       2.10      24.47      84.76      18.97       0.00       0.00       0.00
 1995   8  0:32:43          0.12       1.09       0.05       0.02       0.00       1.75      25.04      71.24      19.70       0.00       0.00       0.00
 1995   8  1:04:54          0.02       0.32       0.04       0.01       0.01       0.55      24.07      40.94      19.02       0.00       0.00       0.00
